line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_source,customs_office_source,origin_source,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,customs_region_province,customs_region_hinterland,customs_office,origin,origin_province,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,product_reexportations,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty
1,Local,1767,Flandre,Angleterre,Angleterre,Imports,Marchandises,marchandises,99735,,,unité manquante,,1767,Flandre,Dunkerque,,,0,sources/Local/IIHS-137_Dunkerque_Imports_1767.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Angleterre,Angleterre,Angleterre,Angleterre,Angleterre et ses colonies,Not Outre-mers,40,divers,9b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,2990,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,0,0,99735,0,0,
2,Local,1767,Flandre,Espagne,Espagne,Imports,Marchandises,marchandises,1414104,,,unité manquante,,1767,Flandre,Dunkerque,,,0,sources/Local/IIHS-137_Dunkerque_Imports_1767.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Espagne,Espagne,Espagne et ses colonies,Espagne,Espagne et ses colonies,Not Outre-mers,40,divers,9b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,2990,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,0,0,1414104,0,0,
3,Local,1767,Flandre,Hollande,Hollande,Imports,Marchandises,marchandises,2484417,,,unité manquante,,1767,Flandre,Dunkerque,,,0,sources/Local/IIHS-137_Dunkerque_Imports_1767.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Hollande,Hollande,Hollande,Hollande,Hollande et ses colonies,Not Outre-mers,40,divers,9b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,2990,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,0,0,2484417,0,0,
4,Local,1767,Flandre,Nord,Nord,Imports,Marchandises,marchandises,71832,,,unité manquante,,1767,Flandre,Dunkerque,,,0,sources/Local/IIHS-137_Dunkerque_Imports_1767.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Nord,Nord,Nord,Nord,Nord,Not Outre-mers,40,divers,9b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,2990,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,0,0,71832,0,0,
285,Local,1768,Flandre,Angleterre,Angleterre,Imports,,[vide],87308,,,unité manquante,,1768,Flandre,Dunkerque,,,0,sources/Local/IIHS-123_and_137_Imports_1768.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Angleterre,Angleterre,Angleterre,Angleterre,Angleterre et ses colonies,Not Outre-mers,6168,[vide],9b,,,0,Intraitable,,0,,,,Pas grain (0),,,,,,[vide],No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,[vide],Unknown,Inconnus,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,87308,0,0,
286,Local,1768,Flandre,Espagne,Espagne,Imports,,[vide],731771,,,unité manquante,,1768,Flandre,Dunkerque,,,0,sources/Local/IIHS-123_and_137_Imports_1768.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Espagne,Espagne,Espagne et ses colonies,Espagne,Espagne et ses colonies,Not Outre-mers,6168,[vide],9b,,,0,Intraitable,,0,,,,Pas grain (0),,,,,,[vide],No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,[vide],Unknown,Inconnus,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,731771,0,0,
287,Local,1768,Flandre,Hollande,Hollande,Imports,,[vide],2772121,,,unité manquante,,1768,Flandre,Dunkerque,,,0,sources/Local/IIHS-123_and_137_Imports_1768.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Hollande,Hollande,Hollande,Hollande,Hollande et ses colonies,Not Outre-mers,6168,[vide],9b,,,0,Intraitable,,0,,,,Pas grain (0),,,,,,[vide],No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,[vide],Unknown,Inconnus,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,2772121,0,0,
288,Local,1768,Flandre,Nord,Nord,Imports,,[vide],75983,,,unité manquante,,1768,Flandre,Dunkerque,,,0,sources/Local/IIHS-123_and_137_Imports_1768.csv,IIHS-137,2,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Nord,Nord,Nord,Nord,Nord,Not Outre-mers,6168,[vide],9b,,,0,Intraitable,,0,,,,Pas grain (0),,,,,,[vide],No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,[vide],Unknown,Inconnus,Pas réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,75983,0,0,
1,Local,1769,Flandre,Angleterre,Angleterre,Imports,Marchandises,marchandises,100470,,,unité manquante,,1769,Flandre,Dunkerque,,,0,sources/Local/IIHS-137_Dunkerque_Imports_1769.csv,IIHS-137,3,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Angleterre,Angleterre,Angleterre,Angleterre,Angleterre et ses colonies,Not Outre-mers,40,divers,9b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,2990,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,0,0,100470,0,0,
2,Local,1769,Flandre,Espagne,Espagne,Imports,Marchandises,marchandises,942470,,,unité manquante,,1769,Flandre,Dunkerque,,,0,sources/Local/IIHS-137_Dunkerque_Imports_1769.csv,IIHS-137,3,,,,,Guillaume Daudin,,,,,,,,,,,Flandre,Flandre,Flandre,Dunkerque,,,Espagne,Espagne,Espagne et ses colonies,Espagne,Espagne et ses colonies,Not Outre-mers,40,divers,9b,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,2990,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Divers incertains,No link with beaver,,,,Divers mélangés,Mixed flows,Other,non,Divers,Unknown,Inconnus,Peut-être réexportation,unité manquante,,unité manquante,,,,,0,0,0,1,0,0,942470,0,0,
