cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo,commodity_as_toflit
Ratafia,ratafia,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,ratafia
Coreaux,coreaux,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
Vin,Vin,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,vin
"Salaisons, olives, capres et anchois","salaisons, olives, capres et anchois",A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
Cuivre en plaque et travaillé,cuivre en plaque et travaillé,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
Parfumeries et gants de peau,parfumeries et gants de peau,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
Marchandises diverses,Marchandises,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,divers
"Merceries, quincailles et armes à feu","merceries, quincailles et armes à feu",A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
"Liqueurs, sirops ou vins étrangers","liqueurs, sirops ou vins étrangers",A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
"Fer travaillé et clous, fer en barre","fer travaillé et clous, fer en barre",A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
Eau-de-vie,Eau-de-vie,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,eau-de-vie
Confitures et fruits à l’eau-de-vie,confitures et fruits à l’eau-de-vie,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
Cordages,cordages,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,cordage
Draperies et autres étoffes en laine ou fil de chevre,draperies et autres étoffes en laine ou fil de chevre,A0210797,Marseille,D0000004,Indes orientales,,Etranger,,multi-Etat,500.0,1789-02-10,14.0,Unknown for TOFLIT
marchandises de la foire de Beaucaire,marchandises de la foire de beaucaire,A0210797,Marseille,A0232521,Gênes,,Etranger,,République de Gênes,,1789-08-08,1.0,Unknown for TOFLIT
châtaignes,châtaignes,A0210797,Marseille,A0118264,Carthagène ,Espagne,Etranger,,Espagne,,1789-02-22,2.0,châtaignes
bois de construction,Bois de construction,A0210797,Marseille,A0118264,Carthagène ,Espagne,Etranger,,Espagne,,1789-02-22,2.0,bois pour construction
fèves,Fèves,A0210797,Marseille,A0079352,Barcelone,Espagne,Etranger,,Espagne,,1789-11-15,1.0,fèves
