cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_1789,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo,commodity_as_toflit
faire la pêche,faire la pêche,A0204180,Dunkerque,A0380426,Shetland,Angleterre,Etranger,Ecosse,Grande-Bretagne,45.0,1789-05-20,2.0,Unknown for TOFLIT
ustensiles de pêche,Ustensiles de pêche,A0204180,Dunkerque,A0380426,Shetland,Angleterre,Etranger,Ecosse,Grande-Bretagne,45.0,1789-05-20,2.0,Industrie française et étrangère
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-05-11,1.0,Matières premières
briques,Briques,A0204180,Dunkerque,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,20.0,1789-08-20,3.0,Industrie française et étrangère
sel,Sel,A0204180,Dunkerque,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,20.0,1789-08-20,3.0,Subsistances
Tabac,tabac,A0204180,Dunkerque,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,20.0,1789-08-20,3.0,Matières premières
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-05-08,1.0,Matières premières
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-07-03,2.0,Divers
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-07-03,2.0,Matières premières
bled,Blé,A0204180,Dunkerque,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,65.0,1789-07-14,1.0,Subsistances
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-02-20,1.0,Matières premières
genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-10-16,1.0,Matières premières
mousseline,mousseline,A0204180,Dunkerque,A0374720,Madère,Portugal,Etranger,îles atlantiques portugaises,Portugal,25.0,1789-09-26,1.0,Objets manufacturés
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,40.0,1789-03-07,3.0,Divers
Caffé,Café,A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,40.0,1789-03-07,3.0,Subsistances
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,40.0,1789-03-07,3.0,Subsistances
sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,106.0,1789-10-09,1.0,Subsistances
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-05-30,2.0,Divers
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-05-30,2.0,Matières premières
Taffias,taffias,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-03-28,2.0,Subsistances
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-03-28,2.0,Divers
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-09-29,2.0,Matières premières
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-09-29,2.0,Divers
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-03-12,2.0,Divers
Tabac,tabac,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-03-12,2.0,Matières premières
Eau-de-vie,Eau-de-vie,A0204180,Dunkerque,A1945598,Guernesey,Angleterre,Etranger,Iles anglo-normandes,Grande-Bretagne,12.0,1789-06-25,1.0,Subsistances
genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-07-16,1.0,Matières premières
genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-09-28,1.0,Matières premières
bled,Blé,A0204180,Dunkerque,A0620777,Amsterdam,Hollande,Etranger,Hollande,Provinces-Unies,60.0,1789-07-15,1.0,Subsistances
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-04-20,2.0,Matières premières
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-04-20,2.0,Divers
futailles vides,Futailles vides,A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,60.0,1789-03-31,3.0,Industrie française et étrangère
Caffé,Café,A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,60.0,1789-03-31,3.0,Subsistances
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Hollande,Etranger,Zélande,Provinces-Unies,60.0,1789-03-31,3.0,Divers
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-02-17,2.0,Matières premières
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-02-17,2.0,Divers
Genevre,genevre,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-09-15,2.0,Matières premières
Etc.,Diverses marchandises,A0204180,Dunkerque,A0394917,Angleterre (destination simulée pour),Angleterre,Etranger,Angleterre,Grande-Bretagne,12.0,1789-09-15,2.0,Divers
